100	116	123	85
200	263	432	186
300	305	860	198
400	402	1498	278
500	521	2322	352
600	480	1603	194
700	300	1398	154
800	263	1722	170
900	318	2196	198
1000	341	2689	225
1100	413	3346	296
1200	423	3929	300
1300	461	4493	304
1400	508	5262	349
1500	554	6177	501
1600	916	8248	583
1700	719	8183	637
1800	727	8591	426
1900	718	9787	605
2000	743	10589	517
2100	800	11728	529
2200	885	12966	671
2300	889	13943	595
2400	983	15409	791
2500	1022	16951	772
2600	1047	18014	653
2700	1062	19435	828
2800	1096	20868	954
2900	1149	22218	787
3000	1359	23665	927
3100	1235	25509	980
3200	1266	27142	1047
3300	1325	29227	1154
3400	1414	30627	1090
3500	1407	32542	1177
3600	1482	34602	1226
3700	1471	36323	1183
3800	1544	38587	1323
3900	1596	41635	1348
4000	1624	42323	1524
4100	1685	44544	1360
4200	1736	46801	1506
4300	1913	48937	1569
4400	1786	51995	1637
4500	1849	53451	1553
4600	1909	56345	1835
4700	1969	58355	1758
4800	2020	61592	1804
4900	2044	64189	2064
5000	2092	66144	1951
5100	2175	68616	1847
5200	2197	71469	2043
5300	2243	74173	2086
5400	2316	76627	2071
5500	2409	79766	2117
5600	2407	82476	2090
5700	2435	85783	2294
5800	2483	88429	2473
5900	2557	92262	2443
6000	2579	94506	2455
6100	2669	97954	2642
6200	2692	100953	2556
6300	2701	104782	2857
6400	2801	108030	2686
6500	2818	116221	2882
6600	2973	121634	2884
6700	2898	118267	2686
6800	3003	121917	2680
6900	3009	126082	2962
7000	3065	139564	5264
7100	5004	137824	3284
7200	3168	140725	3488
7300	3389	145102	6738
7400	3357	146360	3401
7500	3288	148474	3497
7600	3333	154669	3559
7700	4116	171245	8149
7800	3452	181066	4247
7900	4223	181871	4247
8000	4062	182732	7301
8100	3721	187286	4357
8200	3616	179898	3994
8300	3776	183852	3795
8400	3737	205738	3879
8500	4324	214860	5652
8600	5101	201923	3736
8700	3886	199425	4097
8800	3935	210855	4229
8900	3965	213804	4278
9000	3995	222177	6453
9100	4916	220919	4448
9200	4116	223541	4608
9300	4550	232746	4741
9400	4287	234166	4668
9500	4274	246992	9978
9600	5362	253847	5142
9700	5150	252225	5014
9800	4460	253677	4276
9900	4626	261945	5198
10000	4522	267483	10793
10100	4618	269861	4622
10200	4721	278071	5446
10300	4877	285219	5473
10400	4855	288332	4696
10500	4899	296504	6549
10600	5782	318783	5186
10700	5397	305084	5328
10800	4970	308859	5009
10900	5060	317137	5316
11000	5118	320523	5164
11100	5316	328776	6176
11200	5129	363539	9711
11300	6659	356888	5441
11400	5484	358805	8776
11500	7239	381244	6553
11600	7279	390874	5637
11700	5463	369276	6969
11800	5888	394171	12405
11900	6356	386700	7833
12000	8168	417046	9984
12100	7093	430853	7785
12200	6021	393753	7346
12300	5831	403340	7581
12400	7608	410141	7276
12500	5899	420162	7219
12600	5942	428138	7369
12700	6027	428260	7623
12800	5945	434882	7413
12900	6265	452808	7596
13000	8623	465632	8067
13100	6407	463998	7778
13200	6296	471847	7733
13300	6354	481587	8029
13400	6548	494540	7886
13500	6353	486752	9121
13600	6998	497986	8584
13700	6684	521438	8345
13800	7042	507742	8887
13900	6914	531277	8485
14000	6838	523893	7725
14100	6856	532530	7479
14200	7019	528297	7641
14300	7213	534238	8063
14400	7085	542982	9163
14500	7089	553281	7793
14600	7246	557694	7938
14700	7361	606184	8038
14800	7247	572978	8007
14900	7369	581513	8054
15000	7410	593836	8426
15100	7540	616968	9706
15200	7682	664699	21794
15300	9443	658645	24162
15400	10346	650785	8753
15500	7754	664899	16253
15600	9619	717084	18772
15700	8980	708404	10159
15800	10013	733479	16686
15900	7940	717020	9413
16000	7715	746297	10996
16100	8025	733081	17028
16200	8359	746221	17802
16300	9512	713219	9331
16400	8206	711878	9310
16500	7992	724501	11247
16600	8463	773697	11984
16700	8592	735264	10604
16800	8325	743110	10760
16900	8434	760809	11235
17000	8584	767284	11331
17100	8613	771246	11185
17200	8612	773976	12120
17300	8338	790404	11925
17400	8608	797116	12068
17500	8961	803770	10883
17600	8822	814834	10769
17700	8943	833400	11992
17800	9562	834138	11489
17900	9105	845591	10896
18000	8958	847922	10939
18100	9194	855706	13776
18200	9260	874386	13136
18300	9593	884988	13566
18400	9261	902626	13182
18500	9509	915418	14099
18600	9692	932205	17321
18700	9543	915875	11666
18800	9530	927673	11876
18900	9751	945980	12077
19000	9468	948737	12193
19100	9625	956963	12302
19200	9740	967479	12575
19300	9620	974035	12640
19400	9626	996140	12659
19500	9691	995081	12993
19600	9967	1018646	12539
19700	9717	1016411	12805
19800	10057	1101107	14404
19900	9960	1087877	16271
20000	9920	1073111	28242
