3000	71513	4635	72	57	57	58	4023	54 
6000	261313	9753	109	108	108	109	8038	109 
9000	581251	15255	165	165	164	164	12590	164 
12000	1047817	20793	220	219	219	220	17492	220 
15000	1612687	26740	274	274	274	274	22374	274 
18000	2330513	32642	328	329	328	328	26875	328 
21000	3163769	38197	383	383	383	383	32675	383 
24000	4166021	44168	438	438	451	452	37089	438 
27000	5237912	50396	493	493	492	492	41709	493 
30000	6480861	61380	656	613	594	588	53052	586 
